,clean,published
k=-13,-1.561879500521866,-0.23293959517243223
k=-12,-2.452986842094314,0.3520340556984518
k=-11,-2.649517520429001,1.1724556923425062
k=-10,-4.178311297102192,-1.3345545394070406
k=-9,-2.5975850527330855,-0.45811254575884774
k=-8,-0.32299155366672494,0.04822194440666827
k=-7,-1.610073464657527,-1.2932086670029665
k=-6,-0.010345932582370931,1.7721875166479473
k=-5,-2.0798953934110926,-1.2047374307137453
k=-4,-1.5314635028118162,-0.52524701658084
k=-3,-1.6310291578893736,0.7281206387440751
k=-2,-1.521027694368079,-0.7044588838544641
k=0,1.564132001889282,2.4313113784894966
k=1,-1.3651477224618986,-0.011301220403203693
k=2,0.42645217529584256,6.4751481050716855
k=3,0.5989454295344545,3.3849400605291624
k=4,2.0489739451763915,3.3667925088877855
k=5,0.9672777041490479,2.399119008349251
k=6,1.5874749166059487,0.9962113588307915
k=7,3.065889833708303,2.798591253505145
k=8,1.9349630380403553,2.2284716253591395
k=9,1.7105612013857918,1.3195382367474524
k=10,1.4797255540907641,1.8388107147253052
k=11,2.6497668111995107,2.98955504587018
k=12,2.5333105893102816,-0.09552490975252859
k=13,1.2645923173213869,-0.3814383043810974
k=14,3.307249138234134,-2.1292665549736363
k=15,2.1628520396781727,-1.4763627543007822
